G,F,W,V1,V2,V3,C
959.9268543,92.20841153,6504.195007,231.2222495,248.2467784,53.82991748,0.097550743
959.7456707,93.64157739,6440.604787,230.4375116,203.3780759,53.7998096,0.092360209
959.8558858,88.64231093,6469.467084,231.5796296,232.5731198,53.98641409,0.082755163
960.7933616,79.43303025,6371.060164,230.3669128,223.6232425,54.2078582,0.076790409
960.3527825,73.77971554,6214.066604,228.0978435,246.136784,54.54433074,0.070020473
961.251886,67.24435634,6138.469886,226.4579357,217.4477424,54.56931102,0.082143477
960.0011519,78.96057212,6130.094571,224.7668491,228.6240639,54.51287422,0.106564804
956.7537208,102.3023344,6297.253662,218.1155343,263.7971383,53.98419463,0.114569295
960.3841484,109.6145995,6515.773232,217.2043284,238.925492,53.82085026,0.11914153
959.4624178,114.4216367,6628.255679,218.3494198,231.4648271,53.58961212,0.1261446
960.2269673,121.0310027,6725.667754,220.0663596,233.4552228,53.69097283,0.140598429
959.3342855,135.0064033,6969.061232,220.3346758,310.5462671,53.77690723,0.137313404
962.14507,131.7294567,7178.034971,225.2706141,303.3025116,53.73229005,0.130278742
959.1603212,125.3470493,6799.069129,223.4239146,325.6899082,53.75017751,0.12687581
960.1172158,121.6942427,6712.721645,221.8584519,298.739414,53.75944107,0.102183977
960.5086796,98.10859546,6488.006176,221.1541719,461.5478536,53.77991303,0.101488164
960.1548832,97.48026193,6176.315083,215.4880961,521.3035071,53.8386384,0.098762516
960.9883747,94.82731244,6194.289485,216.3448202,438.5601642,53.75900861,0.100152768
959.4752476,96.24564548,6183.329832,214.9453342,464.3701151,53.89615037,0.105805405
956.5230871,101.5176675,6282.072412,215.5309691,439.462756,53.79613384,0.109111738
963.8229465,104.3678966,6530.861237,217.4334424,223.5320448,53.82035493,0.123362784
959.1960086,118.8998818,6790.99242,218.0114498,189.7402689,53.81056307,0.140158866
960.2210106,134.4398244,7128.202894,222.9561957,177.2723495,53.83614139,0.143058701
959.8992557,137.3679708,7270.786932,224.0527429,131.0862056,53.92034969,0.133859417
960.7575064,128.4915549,7121.421849,224.8437235,135.1454477,53.96006258,0.108879064
959.7584612,104.6063784,6935.304031,222.6316962,88.32003216,53.52780588,0.10747138
960.7538366,103.1465661,6758.184989,217.8732399,39.24739115,53.42514165,0.097428285
960.630856,93.60459892,6695.367672,217.8710772,25.26455137,53.41942716,0.08272918
